iter	Logloss
0	0.6679752904
1	0.6297023042
2	0.6031382799
3	0.5746585557
4	0.5452753182
5	0.5301976428
6	0.5101907179
7	0.496130532
8	0.479121928
9	0.4665823758
10	0.4470392136
11	0.4335171839
12	0.4186247853
13	0.408523025
14	0.395551552
15	0.3838612264
16	0.3709258431
17	0.3623808743
18	0.3567338823
19	0.3518151583
20	0.3496602901
21	0.341789446
22	0.332999723
23	0.3285109721
24	0.324518164
25	0.319366022
26	0.3106305352
27	0.3052217311
28	0.3013618284
29	0.2990310767
30	0.296017579
31	0.2906958039
32	0.2862120197
33	0.2823356858
34	0.2794030515
35	0.2760785429
36	0.2707932564
37	0.2662862882
38	0.2609804754
39	0.2591797094
40	0.2551746476
41	0.2522722784
42	0.2473837022
43	0.245635989
44	0.2413553527
45	0.2366052928
46	0.2332022536
47	0.2307615883
48	0.2287915613
49	0.2246509786
50	0.2236654677
51	0.2199172191
52	0.2162004161
53	0.2121311515
54	0.2086697844
55	0.2042232317
56	0.2025605659
57	0.1989597069
58	0.1986283986
59	0.1950955176
60	0.1939635517
61	0.1929743713
62	0.1909837358
63	0.1889145691
64	0.1873381356
65	0.1843474216
66	0.1823869297
67	0.1808619401
68	0.178945252
69	0.1770879235
70	0.1753175349
71	0.1737405535
72	0.1724774932
73	0.1715464897
74	0.1701809293
75	0.1679796138
76	0.1672944237
77	0.1650564666
78	0.1635398928
79	0.1627070684
80	0.1622576033
81	0.16069418
82	0.1603467974
83	0.158164658
84	0.1558896166
85	0.1548714946
86	0.1531973861
87	0.1520355019
88	0.1503362647
89	0.1493269255
90	0.1478082912
91	0.1466162035
92	0.144515532
93	0.1429066153
94	0.141739125
95	0.1414751461
96	0.1403595106
97	0.1390118725
98	0.1369995423
99	0.1363319829
100	0.1349142941
101	0.1348403289
102	0.1332268612
103	0.1325801171
104	0.1303230341
105	0.1296216544
106	0.1273186721
107	0.1254355739
108	0.1252295829
109	0.1241395883
110	0.1228065529
111	0.1216284432
112	0.1208331791
113	0.1201674088
114	0.1186593604
115	0.1175871474
116	0.115813387
117	0.1147058425
118	0.1134465395
119	0.1125318088
120	0.1111068037
121	0.1097482763
122	0.1083594527
123	0.107754525
124	0.1062455217
125	0.1044757767
126	0.1043289983
127	0.1034496243
128	0.1025116068
129	0.1011388562
130	0.1000261157
131	0.09912304302
132	0.09831096022
133	0.09783339297
134	0.09673137044
135	0.09537122654
136	0.09387618494
137	0.09292732322
138	0.09215157537
139	0.09164177997
140	0.09107916476
141	0.09050598267
142	0.08889963645
143	0.08800462872
144	0.08743705322
145	0.08566099515
146	0.08460698694
147	0.0840055086
148	0.08355153494
149	0.08302557593
150	0.08236972065
151	0.081724564
152	0.08078761756
153	0.08011382267
154	0.07922525355
155	0.07830750828
156	0.0772335375
157	0.07693424776
158	0.07654816459
159	0.07542340197
160	0.07457046865
161	0.07378672068
162	0.07284959647
163	0.07252032447
164	0.07167289489
165	0.07043037918
166	0.07026249131
167	0.06892359479
168	0.06806045141
169	0.0677094987
170	0.06704888019
171	0.06677165974
172	0.06644308633
173	0.06554544358
174	0.06523538084
175	0.06508053847
176	0.06465226379
